Label,Id
ProxysFTSE,0x23348160D7f5aca21195dF2b70f28Fce2B0be9fC
ProxysGBP,0x97fe22E7341a0Cd8Db6F6C021A24Dc8f4DAD855F
ProxysGOOG,0xC63B8ECCE56aB9C46184eC6aB85e4771fEa4c8AD
ProxysJPY,0xF6b1C627e95BFc3c1b4c9B825a032Ff0fBf3e07d
ProxysKRW,0x269895a3dF4D73b077Fc823dD6dA1B95f72Aaf9B
ProxysLINK,0xbBC455cb4F1B9e4bFC4B73970d360c8f032EfEE6
ProxysLTC,0xC14103C2141E842e228FBaC594579e798616ce7A
ProxysMSFT,0x745a824D6aBBD236AA794b5530062778A6Ad7523
ProxysNFLX,0x5A7E3c07604EB515C16b36cd51906a65f021F609
ProxysNIKKEI,0x757de3ac6B830a931eF178C6634c5C551773155c
ProxysOIL,0x6d16cF3EC5F763d4d99cB0B0b110eefD93B11B56
ProxysREN,0xD31533E8d0f3DF62060e94B3F1318137bB6E3525
ProxysRUNE,0x0352557B007A4Aae1511C114409b932F06F9E2f4
ProxysTRX,0xf2E08356588EC5cd9E437552Da87C0076b4970B0
ProxysTSLA,0x918dA91Ccbc32B7a6A0cc4eCd5987bbab6E31e6D
ProxysUNI,0x30635297E450b930f8693297eBa160D9e6c8eBcf
ProxysUSDUse ProxyERC20sUSD,0x57Ab1E02fEE23774580C119740129eAC7081e9D3
ProxysXAG,0x6A22e5e94388464181578Aa7A6B869e00fE27846
ProxysXAU,0x261EfCdD24CeA98652B9700800a13DfBca4103fF
ProxysXMR,0x5299d6F7472DCc137D7f3C4BcfBBB514BaBF341A
ProxysXRP,0xa2B0fDe6D710e201d0d608e924A484d1A5fEd57c
ProxysXTZ,0x2e59005c5c0f0a4D77CcA82653d48b46322EE5Cd
ProxysYFI,0x992058B7DB08F9734d84485bfbC243C4ee6954A7
ReadProxyAddressResolver,0x4E3b31eB0E5CB73641EE1E65E7dCEFe520bA3ef2
RewardEscrow,0xb671F2210B1F6621A2607EA63E6B2DC3e2464d1F
RewardEscrowV2,0xDA4eF8520b1A57D7d63f1E249606D1A459698876
RewardsDistribution,0x29C295B046a73Cde593f21f63091B072d407e3F2
SafeDecimalMath,0x84D626B2BB4D0F064067e4BF80FCe7055d8F3E7B
ShortingRewardssBTC,0xCed4055b47cfD0421f3727a35F69CE659c8bAF7a
ShortingRewardssETH,0x12DC1273915A16ab8BD47bA7866B240c253e4c12
StakingRewardsSNXBalancer,0xFBaEdde70732540cE2B11A8AC58Eb2dC0D69dE10
StakingRewardsiBTC,0x167009dcDA2e49930a71712D956f02cc980DcC1b
StakingRewardsiETH,0x3f27c540ADaE3a9E8c875C61e3B970b559d7F65d
StakingRewardssAAPLBalancer,0x7af65f1740c0eB816A27FD808EaF6Ab09F6Fa646
StakingRewardssAMZNBalancer,0xDC338C7544654c7dadFEb7E44076E457963113B0
StakingRewardssBTCCurve,0x13C1542A468319688B89E323fe9A3Be3A90EBb27
StakingRewardssCOINBalancer,0x1C1D97f6338759AB814a5A717aE359573Ab5D5d4
StakingRewardssETHUniswapV1,0x48D7f315feDcaD332F68aafa017c7C158BC54760
StakingRewardssEURCurve,0xc0d8994Cd78eE1980885DF1A0C5470fC977b5cFe
StakingRewardssFBBalancer,0x26Fa0665660c1D3a3666584669511d3c66Ad37Cb
StakingRewardssGOOGBalancer,0x6fB7F0E78582746bd01BcB6dfbFE62cA5F4F9175
StakingRewardssMSFTBalancer,0x9D003Cc298E7Ea141A809C241C0a703176DA3ba3
StakingRewardssNFLXBalancer,0x8Ef8cA2AcAaAfEc19fB366C11561718357F780F2
StakingRewardssTSLABalancer,0xF0de877F2F9E7A60767f9BA662F10751566AD01c
StakingRewardssUSDCurve,0xDCB6A51eA3CA5d3Fd898Fd6564757c7aAeC3ca92
StakingRewardssXAUUniswapV2,0x8302FE9F0C509a996573D3Cc5B0D5D51e4FDD5eC
SupplySchedule,0xA05e45396703BabAa9C276B5E5A9B6e2c175b521
SynthUtil,0x81Aee4EA48f678E172640fB5813cf7A96AFaF6C3
Synthetix,0x43AE8037179a5746D618DA077A38DdeEa9640cBa
SynthetixBridgeEscrow,0x5Fd79D46EBA7F351fe49BFF9E87cdeA6c821eF9f
SynthetixBridgeToOptimism,0xCd9D4988C0AE61887B075bA77f08cbFAd2b65068
SynthetixEscrow,0x971e78e0C92392A4E39099835cF7E6aB535b2227
SynthetixState,0x4b9Ca5607f1fF8019c1C6A3c2f0CC8de622D5B82
SynthiAAVE,0x1cB27Ac646afAE192dF9928A2808C0f7f586Af7d
SynthiADA,0x931c5516EE121a177bD2B60e0122Da5B27630ABc
SynthiBNB,0xf7B8dF8b16dA302d85603B8e7F95111a768458Cc
SynthiBTC,0x8350d1b2d6EF5289179fe49E5b0F208165B4e32e
SynthiCEX,0x6Dc6a64724399524184C2c44a526A2cff1BaA507
SynthiCOMP,0x9A5Ea0D8786B8d17a70410A905Aed1443fae5A38
SynthiDASH,0x947d5656725fB9A8f9c826A91b6082b07E2745B7
SynthiDEFI,0x87eb6e935e3C7E3E3A0E31a5658498bC87dE646E
SynthiDOT,0xF6ce55E09De0F9F97210aAf6DB88Ed6b6792Ca1f
SynthiEOS,0x806A599d60B2FdBda379D5890287D2fba1026cC0
SynthiETC,0xCea42504874586a718954746A564B72bc7eba3E3
SynthiETH,0x29DD4A59F4D339226867e77aF211724eaBb45c02
SynthiLINK,0x4D50A0e5f068ACdC80A1da2dd1f0Ad48845df2F8
SynthiLTC,0xb73c665825dAa926D6ef09417FbE5654473c1b49
SynthiOIL,0x53869BDa4b8d85aEDCC9C6cAcf015AF9447Cade7
SynthiREN,0xacAAB69C2BA65A2DB415605F309007e18D4F5E8C
SynthiTRX,0x0517A56da8A517e3b2D484Cc5F1Da4BDCfE68ec3
SynthiUNI,0x3dD7b893c25025CabFBd290A5E06BaFF3DE335b8
SynthiXMR,0x186E56A62E7caCE1308f1A1B0dbb27f33F80f16f
SynthiXRP,0x19cC1f63e344D74A87D955E3F3E95B28DDDc61d8
SynthiXTZ,0x099CfAd1640fc7EA686ab1D83F0A285Ba0470882
SynthiYFI,0x1A4505543C92084bE57ED80113eaB7241171e7a8
