,Name,Chain,Category,Locked (USD),1 Day %
1,Maker,Ethereum,Lending,$12.20B,5.04%
2,Aave,Ethereum,Lending,$11.30B,4.46%
3,Compound,Ethereum,Lending,$10.06B,5.18%
4,Uniswap,Ethereum,DEXes,$7.15B,-5.57%
5,Curve Finance,Ethereum,DEXes,$6.67B,2.83%
6,SushiSwap,Ethereum,DEXes,$5.22B,-1.61%
7,InstaDApp,Ethereum,Lending,$4.25B,-1.60%
8,Liquity,Ethereum,Lending,$3.86B,-0.15%
9,Polygon,Ethereum,Payments,$3.67B,-3.01%
10,yearn.finance,Ethereum,Assets,$3.52B,5.56%
11,Balancer,Ethereum,DEXes,$2.63B,-1.72%
12,Bancor,Ethereum,DEXes,$2.21B,8.88%
13,Synthetix,Ethereum,Derivatives,$2.10B,4.50%
14,Vesper,Ethereum,Assets,$1.47B,3.43%
15,Flexa,Ethereum,Payments,$1.39B,8.65%
16,Alpha Homora,Ethereum,Lending,$1.26B,8.92%
17,DeFi Saver,Ethereum,Lending,$1.10B,-2.58%
18,Badger DAO,Ethereum,Assets,$933.0M,3.08%
19,RenVM,Ethereum,Assets,$702.7M,5.82%
20,Tornado Cash,Ethereum,Payments,$646.3M,7.53%
21,Nexus Mutual,Ethereum,Derivatives,$559.6M,5.05%
22,KeeperDAO,Ethereum,Lending,$555.5M,0.98%
23,C.R.E.A.M. Finance,Ethereum,Lending,$490.9M,5.47%
24,Integral,Ethereum,DEXes,$449.8M,-9.62%
25,1inch Liquidity Protocol,Ethereum,DEXes,$358.4M,6.31%
26,Harvest Finance,Ethereum,Assets,$317.5M,3.53%
27,KEEP Network,Ethereum,Assets,$301.2M,-0.51%
28,Reflexer,Ethereum,Lending,$299.3M,-18.78%
29,B.Protocol,Ethereum,Lending,$258.6M,5.63%
30,dYdX,Ethereum,Lending,$240.6M,2.89%
31,Set Protocol,Ethereum,Assets,$240.6M,5.80%
32,Loopring,Ethereum,DEXes,$233.5M,5.90%
33,yAxis,Ethereum,Assets,$198.9M,-2.15%
34,Index Coop,Ethereum,Assets,$181.6M,2.79%
35,Idle Finance,Ethereum,Lending,$177.6M,0.10%
36,TrueFi,Ethereum,Lending,$98.7M,0.94%
37,Saddle,Ethereum,DEXes,$87.3M,5.61%
38,Metronome,Ethereum,Assets,$85.8M,5.65%
39,xDai,Ethereum,Payments,$85.8M,2.82%
40,DODO,Ethereum,DEXes,$79.9M,1.36%
41,BarnBridge,Ethereum,Derivatives,$77.7M,-3.53%
42,Lightning Network,Bitcoin,Payments,$71.5M,4.82%
43,DeFi Swap,Ethereum,DEXes,$68.2M,4.38%
44,HEGIC,Ethereum,Derivatives,$65.9M,6.29%
45,Futureswap,Ethereum,Derivatives,$60.6M,-2.47%
46,mStable,Ethereum,Assets,$60.0M,0.27%
47,88mph,Ethereum,Lending,$46.5M,3.35%
48,DerivaDEX,Ethereum,Derivatives,$38.1M,1.90%
49,OnX Finance,Ethereum,Lending,$37.2M,0.65%
50,Bella Flex Saving,Ethereum,Assets,$37.2M,3.93%
51,Enzyme Finance,Ethereum,Assets,$34.9M,4.90%
52,Opyn,Ethereum,Derivatives,$34.8M,4.99%
53,Gnosis,Ethereum,DEXes,$33.6M,3.46%
54,bZx,Ethereum,Lending,$30.3M,-5.05%
55,Swerve Finance,Ethereum,DEXes,$29.6M,3.29%
56,Cryptex,Ethereum,Derivatives,$29.4M,19.01%
57,WePiggy,Ethereum,Lending,$28.2M,2.35%
58,Mushrooms Finance,Ethereum,Assets,$26.9M,38.14%
59,dHEDGE,Ethereum,Assets,$25.5M,-1.25%
60,Pickle Finance,Ethereum,Assets,$24.2M,0.07%
61,IDEX,Ethereum,DEXes,$23.7M,0.55%
62,PowerIndex,Ethereum,DEXes,$23.1M,0.43%
63,DeversiFi,Ethereum,DEXes,$21.8M,5.09%
64,Impermax,Ethereum,Lending,$21.8M,10.97%
65,Notional,Ethereum,Lending,$19.8M,0.63%
66,Erasure,Ethereum,Derivatives,$17.2M,-0.35%
67,dForce,Ethereum,Assets,$14.5M,-0.46%
68,PerlinX,Ethereum,Derivatives,$14.3M,11.41%
69,Kyber,Ethereum,DEXes,$14.2M,-0.35%
70,DefiDollar,Ethereum,Assets,$13.2M,0.91%
71,DDEX,Ethereum,Lending,$12.2M,4.42%
72,Siren,Ethereum,Derivatives,$10.2M,-0.47%
73,Cover Protocol,Ethereum,Derivatives,$7.1M,2.87%
74,DEXTF,Ethereum,Assets,$6.8M,9.43%
75,Auctus,Ethereum,Derivatives,$6.6M,34.03%
76,Value DeFi,Ethereum,Assets,$6.6M,4.24%
77,Opium Network,Ethereum,Derivatives,$6.5M,-0.55%
78,ForTube,Ethereum,Lending,$5.5M,3.20%
79,LINKSWAP,Ethereum,DEXes,$4.8M,1.33%
80,cvault.finance,Ethereum,Assets,$4.5M,-85.23%
81,Augur,Ethereum,Derivatives,$4.2M,-0.92%
82,Snowswap,Ethereum,DEXes,$4.1M,0.70%
83,PieDAO,Ethereum,Assets,$3.9M,8.35%
84,C.R.E.A.M. Swap,Ethereum,DEXes,$3.6M,1.97%
85,MCDEX,Ethereum,Derivatives,$2.5M,5.07%
86,Value Liquid,Ethereum,DEXes,$1.1M,-4.09%
87,QIAN,Ethereum,Lending,$974.0K,3.05%
88,S Finance,Ethereum,DEXes,$903.7K,2.76%
89,Primitive,Ethereum,Derivatives,$847.7K,-0.23%
90,PEAKDEFI,Ethereum,Assets,$646.5K,16.18%
91,DeFiner,Ethereum,Lending,$384.1K,-11.25%
92,DFI.money,Ethereum,Assets,$352.1K,-40.83%
93,UniTrade,Ethereum,DEXes,$192.9K,1.63%
94,RAY,Ethereum,Lending,$46.0K,1.02%
95,Connext,Ethereum,Payments,$12.8K,0.09%
,TVL,,,$76.86B,
