,Label,Id,Type
63,stableDebtTokenAddress - aSUSD,0x30b0f7324fedf89d8eff397275f8983397efe4af,TOKEN
64,variableDebtTokenAddress - aSUSD,0xdc6a3ab17299d9c2a412b0e0a4c1f55446ae0817,TOKEN
66,aTUSD,0x101cc05f4a51c0319f570d5e146a8c625198e636,TOKEN
67,stableDebtTokenAddress - aTUSD,0x7f38d60d94652072b2c44a18c0e14a481ec3c0dd,TOKEN
68,variableDebtTokenAddress - aTUSD,0x01c0eb1f8c6f1c1bf74ae028697ce7aa2a8b0e92,TOKEN
69,aUSDC,0xbcca60bb61934080951369a648fb03df4f96263c,TOKEN
70,stableDebtTokenAddress - aUSDC,0xe4922afab0bbadd8ab2a88e0c79d884ad337fca6,TOKEN
71,variableDebtTokenAddress - aUSDC,0x619beb58998ed2278e08620f97007e1116d5d25b,TOKEN
72,aCRV,0x8dae6cb04688c62d939ed9b68d32bc62e49970b1,TOKEN
73,stableDebtTokenAddress - aCRV,0x9288059a74f589c919c7cf1db433251cdfeb874b,TOKEN
74,variableDebtTokenAddress - aCRV,0x00ad8ebf64f141f1c81e9f8f792d3d1631c6c684,TOKEN
75,aGUSD,0xd37ee7e4f452c6638c96536e68090de8cbcdb583,TOKEN
76,stableDebtTokenAddress - aGUSD,0xf8ac64ec6ff8e0028b37eb89772d21865321bce0,TOKEN
77,variableDebtTokenAddress - aGUSD,0x279af5b99540c1a3a7e3cdd326e19659401ef99e,TOKEN
78,aBAL,0x272f97b7a56a387ae942350bbc7df5700f8a4576,TOKEN
79,stableDebtTokenAddress - aBAL,0xe569d31590307d05da3812964f1edd551d665a0b,TOKEN
80,variableDebtTokenAddress - aBAL,0x13210d4fe0d5402bd7ecbc4b5bc5cfca3b71adb0,TOKEN
81,aXSUSHI,0xf256cc7847e919fac9b808cc216cac87ccf2f47a,TOKEN
82,stableDebtTokenAddress - aXSUSHI,0x73bfb81d7dba75c904f430ea8bae82db0d41187b,TOKEN
83,variableDebtTokenAddress - aXSUSHI,0xfafedf95e21184e3d880bd56d4806c4b8d31c69a,TOKEN
84,AaveGovernanceV2,0xec568fffba86c094cf06b22134b23074dfe2252c,GOV
85,Executor (short),0xee56e2b3d491590b5b31738cc34d5232f378a8d5,GOV
86,Executor (long),0x61910ecd7e8e942136ce7fe7943f956cea1cc2f7,GOV
87,GovernanceStrategy,0xb7e383ef9b1e9189fc0f71fb30af8aa14377429e,GOV
88,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,GOV
89,stkAAVE,0x4da27a545c0c5b758a6ba100e3a049001de870f5,GOV
90,GovV2Helper,0x16ff7583ea21055bf5f929ec4b896d997ff35847,GOV
91,aAmmWETH,0xf9fb4ad91812b704ba883b11d2b576e890a6730a,TOKEN
92,stableDebtTokenAddress-aAmmWETH,0x118ee405c6be8f9ba7cc7a98064eb5da462235cf,TOKEN
93,variableDebtTokenAddress-aAmmWETH,0xa4c273d9a0c1fe2674f0e845160d6232768a3064,TOKEN
94,aAmmDAI,0x79be75ffc64dd58e66787e4eae470c8a1fd08ba4,TOKEN
95,stableDebtTokenAddress-aAmmDAI,0x8da51a5a3129343468a63a96ccae1ff1352a3dfe,TOKEN
96,variableDebtTokenAddress-aAmmDAI,0x3f4fa4937e72991367dc32687bc3278f095e7eaa,TOKEN
97,aAmmUSDC,0xd24946147829deaa935be2ad85a3291dbf109c80,TOKEN
98,stableDebtTokenAddress-aAmmUSDC,0xe5971a8a741892f3b3ac3e9c94d02588190ce220,TOKEN
99,variableDebtTokenAddress-aAmmUSDC,0xcfdc74b97b69319683fec2a4ef95c4ab739f1b12,TOKEN
100,aAmmUSDT,0x17a79792fe6fe5c95dfe95fe3fcee3caf4fe4cb7,TOKEN
101,stableDebtTokenAddress-aAmmUSDT,0x04a0577a89e1b9e8f6c87ee26cce6a168fffc5b5,TOKEN
102,variableDebtTokenAddress-aAmmUSDT,0xdcfe9bfc246b02da384de757464a35efca402797,TOKEN
103,aAmmWBTC,0x13b2f6928d7204328b0e8e4bcd0379aa06ea21fa,TOKEN
104,stableDebtTokenAddress-aAmmWBTC,0x55e575d092c934503d7635a837584e2900e01d2b,TOKEN
105,variableDebtTokenAddress-aAmmWBTC,0x3b99fdafdfe70d65101a4ba8cdc35dafbd26375f,TOKEN
106,aAmmUniDAIWETH,0x9303eabc860a743aabcc3a1629014cabcc3f8d36,TOKEN
107,stableDebtTokenAddress-aAmmUniDAIWETH,0xe9562bf0a11315a1e39f9182f446ea58002f010e,TOKEN
108,variableDebtTokenAddress-aAmmUniDAIWETH,0x23bcc861b989762275165d08b127911f09c71628,TOKEN
109,aAmmUniWBTCWETH,0xc58f53a8adff2fb4eb16ed56635772075e2ee123,TOKEN
110,stableDebtTokenAddress-aAmmUniWBTCWETH,0xeef7d082d9be2f5ec73c072228706286dea1f492,TOKEN
111,variableDebtTokenAddress-aAmmUniWBTCWETH,0x02aaeb4c7736177242ee0f71f6f6a0f057aba87d,TOKEN
112,aAmmUniAAVEWETH,0xe59d2ff6995a926a574390824a657eed36801e55,TOKEN
113,stableDebtTokenAddress-aAmmUniAAVEWETH,0x997b26eff106f138e71160022caab0afc5814643,TOKEN
114,variableDebtTokenAddress-aAmmUniAAVEWETH,0x859ed7d9e92d1fe42ff95c3bc3a62f7cb59c373e,TOKEN
115,aAmmUniBATWETH,0xa1b0edf4460cc4d8bfaa18ed871bff15e5b57eb4,TOKEN
116,stableDebtTokenAddress-aAmmUniBATWETH,0x27c67541a4ea26a436e311b2e6ffec82083a6983,TOKEN
117,variableDebtTokenAddress-aAmmUniBATWETH,0x3fbef89a21dc836275bc912849627b33c61b09b4,TOKEN
118,aAmmUniDAIUSDC,0xe340b25fe32b1011616bb8ec495a4d503e322177,TOKEN
119,stableDebtTokenAddress-aAmmUniDAIUSDC,0x6bb2bdd21920fcb2ad855ab5d523222f31709d1f,TOKEN
120,variableDebtTokenAddress-aAmmUniDAIUSDC,0x925e3fdd927e20e33c3177c4ff6fb72ad1133c87,TOKEN
121,aAmmUniCRVWETH,0x0ea20e7ffb006d4cfe84df2f72d8c7bd89247db0,TOKEN
122,stableDebtTokenAddress-aAmmUniCRVWETH,0xd6035f8803ee9f173b1d3ebc3bde0ea6b5165636,TOKEN
123,variableDebtTokenAddress-aAmmUniCRVWETH,0xf3f1a76ca6356a908cdcde6b2ac2eaace3739cd0,TOKEN
124,aAmmUniLINKWETH,0xb8db81b84d30e2387de0ff330420a4aaa6688134,TOKEN
125,stableDebtTokenAddress-aAmmUniLINKWETH,0xeb32b3a1de9a1915d2b452b673c53883b9fa6a97,TOKEN
126,variableDebtTokenAddress-aAmmUniLINKWETH,0xede4052ed8e1f422f4e5062c679f6b18693fecdc,TOKEN
127,aAmmUniMKRWETH,0x370adc71f67f581158dc56f539df5f399128ddf9,TOKEN
128,stableDebtTokenAddress-aAmmUniMKRWETH,0x6e7e38bb73e19b62ab5567940caaa514e9d85982,TOKEN
129,variableDebtTokenAddress-aAmmUniMKRWETH,0xf36c394775285f89bbbdf09533421e3e81e8447c,TOKEN
130,aAmmUniRENWETH,0xa9e201a4e269d6cd5e9f0fcbcb78520cf815878b,TOKEN
131,stableDebtTokenAddress-aAmmUniRENWETH,0x312edeadf68e69a0f53518bf27eacd1abcc2897e,TOKEN
132,variableDebtTokenAddress-aAmmUniRENWETH,0x2a8d5b1c1de15bfcd5ec41368c0295c60d8da83c,TOKEN
133,aAmmUniSNXWETH,0x38e491a71291cd43e8de63b7253e482622184894,TOKEN
134,stableDebtTokenAddress-aAmmUniSNXWETH,0xef62a0c391d89381ddf8a8c90ba772081107d287,TOKEN
135,variableDebtTokenAddress-aAmmUniSNXWETH,0xfd15008efa339a2390b48d2e0ca8abd523b406d3,TOKEN
136,aAmmUniUNIWETH,0x3d26dcd840fcc8e4b2193ace8a092e4a65832f9f,TOKEN
137,stableDebtTokenAddress-aAmmUniUNIWETH,0x6febce732191dc915d6fb7dc5fe3aefddb85bd1b,TOKEN
