Protocol,Label,Id
yearn,YFI,0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e
yearn,WOOFY,0xd0660cd418a64a1d44e9214ad8e459324d8157f1
yearn,v2.registry.ychad.eth,0xFEB4acf3df3cDEA7399794D0869ef76A6EfAff52
