Label,Id
pBTC-StableSwapPBTC,0x7F55DDe206dbAD629C080068923b36fe9D6bDBeF
pBTC-CurveTokenV2,0xDE5331AC4B3630f94853Ff322B66407e0D6331E8
RSV-DepositRSV,0xBE175115BF33E12348ff77CcfEE4726866A0Fbd5
RSV-StableSwapRSV,0xC18cC39da8b11dA8c3541C598eE022258F9744da
RSV-CurveTokenV2,0xC2Ee6b0334C261ED60C72f6054450b61B8f18E35
tBTC-DepositTBTC,0xaa82ca713D94bBA7A89CEAB55314F9EfFEdDc78c
tBTC-StableSwapTBTC,0xC25099792E9349C7DD09759744ea681C7de2cb66
tBTC-CurveTokenV2,0x64eda51d3Ad40D56b9dFc5554E06F94e1Dd786Fd
USDK-DepositUSDK,0xF1f85a74AD6c64315F85af52d3d46bF715236ADc
USDK-StableSwapUSDK,0x3E01dD8a5E1fb3481F0F589056b428Fc308AF0Fb
USDK-CurveTokenV2,0x97E2768e8E73511cA874545DC5Ff8067eB19B787
USDN-DepositUSDN,0x094d12e5b541784701FD8d65F11fc0598FBC6332
USDN-StableSwapUSDN,0x0f9cb53Ebe405d49A0bbdBD291A65Ff571bC83e1
USDN-CurveTokenV2,0x4f3E8F405CF5aFC05D68142F3783bDfE13811522
USDP-DepositUSDP,0x3c8cAee4E09296800f8D29A68Fa3837e2dae4940
USDP-StableSwapUSDP,0x42d7025938bEc20B69cBae5A77421082407f053A
USDP-CurveTokenV3,0x7Eb40E450b9655f4B3cC4259BCC731c63ff55ae6
UST-DepositUST,0xB0a0716841F2Fc03fbA72A891B8Bb13584F52F2d
UST-StableSwapUST,0x890f4e345B1dAED0367A877a1612f86A1f86985f
UST-CurveTokenV3,0x94e131324b6054c0D789b190b2dAC504e4361b53
3pool-LiquidityGauge.sol,0xbFcF63294aD7105dEa65aA58F8AE5BE2D9d0952A
AAVE-LiquidityGaugeV2,0xd662908ADA2Ea1916B3318327A97eB18aD588b5d
alUSD-LiquidityGaugeV3,0x9582C4ADACB3BCE56Fea3e590F05c3ca2fb9C477
ankrETH-LiquidityGaugeV2,0x6d10ed2cF043E6fcf51A0e7b4C2Af3Fa06695707
bBTC-LiquidityGaugeV2,0xdFc7AdFa664b08767b735dE28f9E84cd30492aeE
BUSD-LiquidityGauge,0x69Fb7c45726cfE2baDeE8317005d3F94bE838840
Compound-LiquidityGauge.sol,0x7ca5b0a2910B33e9759DC7dDB0413949071D7575
DUSD-LiquidityGaugeReward,0xAEA6c312f4b3E04D752946d329693F7293bC2e6D
EURS-LiquidityGaugeV2,0x90Bb609649E0451E5aD952683D64BD2d1f245840
FRAX-LiquidityGaugeV2,0x72e158d38dbd50a483501c24f792bdaaa3e7d55c
GUSD-LiquidityGauge,0xC5cfaDA84E902aD92DD40194f0883ad49639b023
hBTC-LiquidityGauge,0x4c18E409Dc8619bFb6a1cB56D114C3f592E0aE79
HUSD-LiquidityGauge,0x2db0E83599a91b508Ac268a6197b8B14F5e72840
MUSD-LiquidityGaugeReward,0x5f626c30EC1215f4EdCc9982265E8b1F411D1352
